Active schemes scanned: 770
Distinct document types (>= 3 schemes): 220 of 1527 total

Count  Document
──────────────────────────────────────────────────────────────────────
  234  Aadhaar Card
  141  Caste Certificate
  131  Bank Account Details
   83  Identity Proof
   66  Bank Pass Book/Cancelled Cheque
   65  Ration Card
   54  Any other documents (if required)
   45  Passport-size photograph
   44  Proof of identity (Aadhar card, Voter ID)
   42  7/12 Certificate
   39  Bank Passbook
   37  Mobile Number
   36  PAN card
   33  Residence proof
   33  Disability Certificate from Competent Authority
   26  Passport Size Photo
   23  Land Ownership Documents (if applicant has own private land)
   23  Any other document if required
   21  Copy of Bank Passbook or Cancelled Cheque
   20  Address proof
   20  Scheduled Caste/Scheduled Tribe Certificate (for Scheduled Caste and Scheduled Tribe beneficiaries)
   18  Bank account
   18  Passport-size photo
   17  Bank passbook/account details
   17  Aadhaar Details (Should be linked with mobile number)
   17  Farmer details
   17  Land information
   17  Lease Agreement (minimum 10 years, if applicable)
   16  > **For DBT Registration Process
   16  > **For the Online Application of the Scheme
   16  Date of Birth Certificate (Voting Card/Birth Certificate/Aadhar Card/Matriculation Certificate)
   15  Birth Certificate (for Proof of Age)
   15  Bills/Receipts/Vouchers
   15  Residence Certificate
   15  Aadhaar Card/Voter ID/Ration Card/Passport (as proof of identity)
   14  Training Certificate
   14  Proof of Land Ownership
   14  Land ownership documents or lease agreement
   14  Land document (Ownership / Lease deed/ Rent Agreement etc.)
   13  Identity proof i.e. Aadhaar Card, Voter ID Card
   13  Documents proof of possessing own or leased land
   13  Voter ID/Ration Card/Aadhaar Card/Passport (as proof of identity)
   13  Consent Form of Co-owners (in case of co-owned land)
   13  Identity Card
   12  BPL Certificate
   12  Below Poverty Line Card
   12  Barcoded ration card
   11  Proof of residence
   10  Savings Account Bank Passbook or Cancelled Check
   10  Documents proof of having sufficient available cultivable land
   10  Aadhar Card / Janadhar Card
   10  Proof of age
   10  Quotation
   10  Fishing License
   10  Bank Account Passbook
   10  Udhyan Card
   10  Passport size photograph
   10  Land Ownership Proof
   10  Detailed Project Report
    9  Income Certificate
    9  Mandate Form
    9  Copy of Jamabandi (not more than six months old)
    9  Land Records
    9  Documents are required as per the department’s guidelines prescribed for this scheme
    9  Scheduled Tribe Certificate
    9  Photograph
    8  Basis (evidence) for land
    8  1) Aadhaar number
    8  Land Record 7-12 and 8-A
    8  Permanent Residence Certificate
    8  Agreement Deed between beneficiary and Fisheries Department
    8  Details of Bank Account and PAN Card
    8  Detail of Bank Account and PAN Card
    7  Income Proof Certificate
    7  Quotations
    7  GST registration certificate
    7  Bank account details/Bank Passbook
    7  Other necessary documents if required
    7  Caste Certificate from First Class Magistrate (Tehsildar)
    7  Caste certificate, if applicable
    7  Training certificates
    7  2) Land documents
    6  Beneficiary's Undertaking/Consent Form
    6  Passport Sized Photograph
    6  Election Photo Identity Card (for Proof of Identity)
    6  Enrollment certificate as a member of the Fishermen Co-operative Society
    6  Declaration of not being a recipient of Old Age Pension
    6  Women farmer group registration documents
    6  Domicile Certificate
    6  Identification Proof (Aadhaar Card)
    6  Government approved photo ID (Aadhaar, Voter ID, etc.)
    6  Privaar Pahchan Patra (PPP ID)
    6  Death Certificate
    6  Photographs of project site
    6  Documentary proof of applicant’s share in the project
    6  Certificate of Incorporation (In case of company)
    6  Partnership Deed (In case of partnership firm)
    6  Last three years audited Annual financial statements, if applicable
    6  Last three years income tax returns, if applicable
    6  Bank statement for last six months
    6  Canceled cheque along with bank mandate form
    6  Education certificates
    6  Experience letter/ certificate about any livestock farming activities done earlier
    6  Land-related documents, such as Khasra and Khatauni (lease certificate, in case of leased land)
    6  Copy of land details 7/12 and 8-A
    6  Copy of forest rights Letter
    5  Government-approved photo ID i.e. Aadhaar Card, Voter ID Card
    5  Mandate Form along with Bank Pass Book
    5  Documents proof of being a farmer
    5  Scheduled Caste Certificate
    5  Any other documents if required
    5  Identity proof i.e. Aadhaar Card
    5  Land-ownership/ revenue receipt
